Bassano Romano comune,Bassano Romano comune.1
,
Bassano Romano – Veduta,Bassano Romano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Emanuele Maggi (lista civica) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°13′31″N 12°11′24″E
Altitudine,360 m s.l.m.
Superficie,"37,55 km²"
Abitanti,4 688[1] (30-11-2025)
Densità,"124,85 ab./km²"
Comuni confinanti,"Bracciano (RM), Capranica, Oriolo Romano, Sutri, Vejano"
Altre informazioni,Altre informazioni
Cod. postale,01030
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056005
Cod. catastale,A704
Targa,VT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona D, 2 060 GG[3]"
Nome abitanti,bassanesi
Patrono,san Gratiliano
Giorno festivo,12 agosto
Cartografia,Cartografia
Bassano Romano,Bassano Romano
Bassano Romano – MappaPosizione del comune di Bassano Romano nella provincia di Viterbo,Bassano Romano – MappaPosizione del comune di Bassano Romano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
