San Lorenzo Nuovo comune,San Lorenzo Nuovo comune.1
,
San Lorenzo Nuovo – Veduta,San Lorenzo Nuovo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Simona Fabi (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,42°41′15″N 11°54′27″E
Altitudine,503 m s.l.m.
Superficie,"27,99 km²"
Abitanti,2 025[1] (30-11-2025)
Densità,"72,35 ab./km²"
Comuni confinanti,"Acquapendente, Bolsena, Castel Giorgio (TR), Grotte di Castro"
Altre informazioni,Altre informazioni
Cod. postale,01020
Prefisso,+39 (nazionale); 0763 (prefisso telefoni fissi locale)
Fuso orario,UTC+1
Codice ISTAT,056047
Cod. catastale,H969
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 313 GG[3]"
Nome abitanti,sanlorenzani
Patrono,san Lorenzo Martire
Giorno festivo,10 agosto
Cartografia,Cartografia
San Lorenzo Nuovo,San Lorenzo Nuovo
San Lorenzo Nuovo – Mappa,San Lorenzo Nuovo – Mappa
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
