Graffignano comune,Graffignano comune.1
,
Graffignano – Veduta,Graffignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,"Rossi Piero (lista civica ""#oltre"") dal 27-5-2019"
Territorio,Territorio
Coordinate,42°34′24″N 12°12′09″E
Altitudine,187 m s.l.m.
Superficie,"29,1 km²"
Abitanti,2 060[1] (30-11-2025)
Densità,"70,79 ab./km²"
Frazioni,Sipicciano
Comuni confinanti,"Alviano (TR), Attigliano (TR), Bomarzo, Civitella d'Agliano, Lugnano in Teverina (TR), Viterbo"
Altre informazioni,Altre informazioni
Cod. postale,01020
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056029
Cod. catastale,E128
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 753 GG[3]"
Nome abitanti,graffignanesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Graffignano,Graffignano
Graffignano – MappaPosizione del comune di Graffignano nella provincia di Viterbo,Graffignano – MappaPosizione del comune di Graffignano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
