Caprarola comune,Caprarola comune.1
,
Caprarola – VedutaPanorama di Caprarola con a sinistra il Palazzo Farnese,Caprarola – VedutaPanorama di Caprarola con a sinistra il Palazzo Farnese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Angelo Borgna (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,42°19′39″N 12°14′12″E
Altitudine,493 m s.l.m.
Superficie,"57,58 km²"
Acque interne,"10 km² (17,37%)"
Abitanti,5 156[1] (30-11-2025)
Densità,"89,54 ab./km²"
Comuni confinanti,"Canepina, Carbognano, Nepi, Ronciglione, Vallerano, Vetralla, Viterbo"
Altre informazioni,Altre informazioni
Cod. postale,01032
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056015
Cod. catastale,B691
Targa,VT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona E, 2 343 GG[3]"
Nome abitanti,caprolatti
Patrono,sant'Egidio abate
Giorno festivo,1º settembre
Cartografia,Cartografia
Caprarola,Caprarola
Caprarola – MappaPosizione del comune di Caprarola nella provincia di Viterbo,Caprarola – MappaPosizione del comune di Caprarola nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
