Canino comune,Canino comune.1
,
Canino – Veduta,Canino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Giuseppe Cesetti (lista civica di centro-destra) dal 4-10-2021
Territorio,Territorio
Coordinate,42°27′54″N 11°45′07″E
Altitudine,229 m s.l.m.
Superficie,"124,04 km²"
Abitanti,5 097[1] (30-11-2025)
Densità,"41,09 ab./km²"
Frazioni,Musignano
Comuni confinanti,"Cellere, Ischia di Castro, Manciano (GR), Montalto di Castro, Tessennano, Tuscania"
Altre informazioni,Altre informazioni
Cod. postale,01011
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056012
Cod. catastale,B604
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 828 GG[3]"
Nome abitanti,caninesi
Patrono,sant'Andrea Apostolo
Giorno festivo,30 novembre
Cartografia,Cartografia
Canino,Canino
Canino – MappaPosizione del comune di Canino nella provincia di Viterbo,Canino – MappaPosizione del comune di Canino nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
