Corchiano comune,Corchiano comune.1
,
Corchiano – VedutaCorchiano visto dalla forra,Corchiano – VedutaCorchiano visto dalla forra
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Gianfranco Piergentili (lista civica) dal 18-10-2021
Territorio,Territorio
Coordinate,42°20′45″N 12°21′23″E
Altitudine,196 m s.l.m.
Superficie,"33,03 km²"
Abitanti,3 537[1] (30-11-2025)
Densità,"107,08 ab./km²"
Comuni confinanti,"Civita Castellana, Fabrica di Roma, Gallese, Vignanello"
Altre informazioni,Altre informazioni
Cod. postale,01030
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056023
Cod. catastale,C988
Targa,VT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 769 GG[3]"
Nome abitanti,corchianesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Corchiano,Corchiano
Corchiano – MappaPosizione del comune di Corchiano nella provincia di Viterbo,Corchiano – MappaPosizione del comune di Corchiano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
