Faleria comune,Faleria comune.1
,
Faleria – VedutaVeduta,Faleria – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Walter Salvadori (lista civica SiAmo Faleria) dal 4-10-2021
Territorio,Territorio
Coordinate,42°13′39″N 12°26′46″E
Altitudine,202 m s.l.m.
Superficie,"25,68 km²"
Abitanti,2 018[1] (30-11-2025)
Densità,"78,58 ab./km²"
Comuni confinanti,"Calcata, Castel Sant'Elia, Civita Castellana, Sant'Oreste, (RM), Mazzano Romano, (RM), Rignano Flaminio, (RM), (Italia)"
Altre informazioni,Altre informazioni
Cod. postale,01030
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056025
Cod. catastale,D475
Targa,VT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 806 GG[3]"
Nome abitanti,faleriani
Patrono,san Giuliano
Giorno festivo,13 gennaio
Cartografia,Cartografia
Faleria,Faleria
Faleria – MappaPosizione del comune di Faleria nella provincia di Viterbo,Faleria – MappaPosizione del comune di Faleria nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
