Civita Castellana comune,Civita Castellana comune.1
,
Civita Castellana – VedutaPiazza Giacomo Matteotti a Civita Castellana,Civita Castellana – VedutaPiazza Giacomo Matteotti a Civita Castellana
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Luca Giampieri (Fratelli d'Italia) dal 21-9-2020
Territorio,Territorio
Coordinate,42°17′46″N 12°24′36″E
Altitudine,145 m s.l.m.
Superficie,"84,22 km²"
Abitanti,15 020[1] (30-11-2025)
Densità,"178,34 ab./km²"
Frazioni,"Borghetto, Pian Paradiso, Sassacci, Frattacci, Monte Filippetti, Quartaccio, Fabbrece, Cenciani"
Comuni confinanti,"Castel Sant'Elia, Collevecchio (RI), Corchiano, Fabrica di Roma, Faleria, Gallese, Magliano Sabina (RI), Ponzano Romano (RM), Sant'Oreste (RM)"
Altre informazioni,Altre informazioni
Cod. postale,01033
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056021
Cod. catastale,C765
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 703 GG[3]"
Nome abitanti,civitonici
Patrono,"santi Giovanni e Marciano, martiri romani"
Giorno festivo,16 settembre
Cartografia,Cartografia
Civita Castellana,Civita Castellana
Civita Castellana – MappaPosizione del comune di Civita Castellana nella provincia di Viterbo,Civita Castellana – MappaPosizione del comune di Civita Castellana nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
