Fabrica di Roma comune,Fabrica di Roma comune.1
,
Fabrica di Roma – Veduta,Fabrica di Roma – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Claudio Ricci (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,42°20′05″N 12°18′01″E
Altitudine,296 m s.l.m.
Superficie,"34,79 km²"
Abitanti,8 178[1] (30-11-2025)
Densità,"235,07 ab./km²"
Frazioni,"Faleri, Parco Falisco"
Comuni confinanti,"Carbognano, Castel Sant'Elia, Civita Castellana, Corchiano, Nepi, Vallerano, Vignanello"
Altre informazioni,Altre informazioni
Cod. postale,01034
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056024
Cod. catastale,D452
Targa,VT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 946 GG[3]"
Nome abitanti,fabrichesi
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Fabrica di Roma,Fabrica di Roma
Fabrica di Roma – MappaPosizione del comune di Fabrica di Roma nella provincia di Viterbo,Fabrica di Roma – MappaPosizione del comune di Fabrica di Roma nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
