Civitella d'Agliano comune,Civitella d'Agliano comune.1
,
Civitella d'Agliano – Veduta,Civitella d'Agliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Giuseppe Mottura (lista civica Civitella di tutti) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,42°36′15″N 12°11′16″E
Altitudine,262 m s.l.m.
Superficie,"32,96 km²"
Abitanti,1 444[1] (30-11-2025)
Densità,"43,81 ab./km²"
Frazioni,"Case Nuove, Pian della Breccia, San Michele in Teverina, San Sebastiano, Spoletino"
Comuni confinanti,"Alviano (TR), Bagnoregio, Castiglione in Teverina, Graffignano, Guardea (TR), Montecchio (TR), Orvieto (TR), Viterbo"
Altre informazioni,Altre informazioni
Cod. postale,01020
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056022
Cod. catastale,C780
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 886 GG[3]"
Nome abitanti,civitellesi
Patrono,san Gorgonio
Giorno festivo,9 settembre
Cartografia,Cartografia
Civitella d'Agliano,Civitella d'Agliano
Civitella d'Agliano – MappaPosizione del comune di Civitella d'Agliano nella provincia di Viterbo,Civitella d'Agliano – MappaPosizione del comune di Civitella d'Agliano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
