Vallerano comune,Vallerano comune.1
,
Vallerano – Veduta,Vallerano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Adelio Gregori (lista civica Obiettivo Vallerano) dal 10-6-2018
Territorio,Territorio
Coordinate,42°23′06″N 12°15′51″E
Altitudine,390 m s.l.m.
Superficie,"15,45 km²"
Abitanti,2 357[1] (30-11-2025)
Densità,"152,56 ab./km²"
Comuni confinanti,"Canepina, Caprarola, Carbognano, Fabrica di Roma, Soriano nel Cimino, Vignanello"
Altre informazioni,Altre informazioni
Cod. postale,01030
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056054
Cod. catastale,L612
Targa,VT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona E, 2 113 GG[3]"
Nome abitanti,valleranesi
Patrono,san Vittore
Giorno festivo,8 maggio
Cartografia,Cartografia
Vallerano,Vallerano
Vallerano – MappaPosizione del comune di Vallerano nella provincia di Viterbo,Vallerano – MappaPosizione del comune di Vallerano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
