Vasanello comune,Vasanello comune.1
,
Vasanello – Veduta,Vasanello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Igino Vestri (centro-destra) dal 4-10-2021
Territorio,Territorio
Coordinate,42°24′52″N 12°20′51″E
Altitudine,265 m s.l.m.
Superficie,"28,96 km²"
Abitanti,3 959[1] (30-11-2025)
Densità,"136,71 ab./km²"
Comuni confinanti,"Bassano in Teverina, Gallese, Orte, Soriano nel Cimino, Vignanello"
Altre informazioni,Altre informazioni
Cod. postale,01030
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056055
Cod. catastale,A701
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 891 GG[3]"
Nome abitanti,vasanellesi
Patrono,san Lanno
Giorno festivo,5 maggio
Cartografia,Cartografia
Vasanello,Vasanello
Vasanello – MappaPosizione del comune di Vasanello nella provincia di Viterbo,Vasanello – MappaPosizione del comune di Vasanello nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
