Acquapendente comune,Acquapendente comune.1
,
Acquapendente – Veduta,Acquapendente – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Alessandra Terrosi (PD) dal 5-10-2021
Territorio,Territorio
Coordinate,42°44′41″N 11°51′54″E
Altitudine,420 m s.l.m.
Superficie,"131,61 km²"
Abitanti,5 223[1] (30-11-2025)
Densità,"39,69 ab./km²"
Frazioni,"Torre Alfina, Trevinano, San Giusto"
Comuni confinanti,"Allerona (TR), Castel Giorgio (TR), Castel Viscardo (TR), Grotte di Castro, Onano, Proceno, San Lorenzo Nuovo, San Casciano dei Bagni (SI), Sorano (GR)"
Altre informazioni,Altre informazioni
Cod. postale,01021
Prefisso,0763
Fuso orario,UTC+1
Codice ISTAT,056001
Cod. catastale,A040
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 299 GG[3]"
Nome abitanti,aquesiani
Patrono,sant'Ermete
Giorno festivo,28 agosto
Cartografia,Cartografia
Acquapendente,Acquapendente
Acquapendente – MappaPosizione del comune di Acquapendente nella provincia di Viterbo,Acquapendente – MappaPosizione del comune di Acquapendente nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
