Grotte di Castro comune,Grotte di Castro comune.1
,
Grotte di Castro – Veduta,Grotte di Castro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Antonio Domenico Rizzello (lista civica di centrosinistra) dal 10-06-2024
Territorio,Territorio
Coordinate,42°40′31″N 11°52′23″E
Altitudine,467 m s.l.m.
Superficie,"33,42 km²"
Abitanti,2 381[1] (30-11-2025)
Densità,"71,24 ab./km²"
Frazioni,"Borghetto, Mortaro"
Comuni confinanti,"Acquapendente, Gradoli, Onano, San Lorenzo Nuovo"
Altre informazioni,Altre informazioni
Cod. postale,01025
Prefisso,0763
Fuso orario,UTC+1
Codice ISTAT,056030
Cod. catastale,E210
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 249 GG[3]"
Nome abitanti,Grottani
Patrono,San Flavio
Giorno festivo,7 maggio
Cartografia,Cartografia
Grotte di Castro,Grotte di Castro
Grotte di Castro – MappaPosizione del comune di Grotte di Castro nella provincia di Viterbo,Grotte di Castro – MappaPosizione del comune di Grotte di Castro nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
