Castiglione in Teverina comune,Castiglione in Teverina comune.1
,
Castiglione in Teverina – VedutaCastiglione in Teverina,Castiglione in Teverina – VedutaCastiglione in Teverina
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Mirco Luzi (lista civica) dal 14-6-2004
Territorio,Territorio
Coordinate,42°38′56″N 12°12′15″E
Altitudine,228 m s.l.m.
Superficie,"19,89 km²"
Abitanti,2 285[1] (30-11-2025)
Densità,"114,88 ab./km²"
Frazioni,"Sermugnano, Vaiano"
Comuni confinanti,"Bagnoregio, Civitella d'Agliano, Lubriano, Orvieto (TR)"
Altre informazioni,Altre informazioni
Cod. postale,01024
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056018
Cod. catastale,C315
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 826 GG[3]"
Nome abitanti,castiglionesi
Patrono,SS. Filippo e Giacomo (santissimo Crocifisso) - Madonna della Neve
Giorno festivo,3 maggio - 5 agosto
Cartografia,Cartografia
Castiglione in Teverina,Castiglione in Teverina
Castiglione in Teverina – MappaPosizione del comune di Castiglione in Teverina nella provincia di Viterbo,Castiglione in Teverina – MappaPosizione del comune di Castiglione in Teverina nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
