Orte comune,Orte comune.1
,
Orte – VedutaVeduta da Nord,Orte – VedutaVeduta da Nord
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Dino Primieri (centro-sinistra) dal 4-10-2021
Territorio,Territorio
Coordinate,42°27′37″N 12°23′10″E
Altitudine,132 m s.l.m.
Superficie,"69,56 km²"
Abitanti,9 230[1] (30-11-2025)
Densità,"132,69 ab./km²"
Frazioni,"Baucche, Caldare, Orte Scalo, San Bernardino, San Michele, Scappia di Paglia, Stazione di Bassano in Teverina"
Comuni confinanti,"Amelia (TR), Bassano in Teverina, Gallese, Giove (TR), Magliano Sabina (RI), Narni (TR), Otricoli (TR), Penna in Teverina (TR), Vasanello"
Altre informazioni,Altre informazioni
Cod. postale,01028
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056042
Cod. catastale,G135
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 935 GG[3]"
Nome abitanti,ortani
Patrono,sant'Egidio Abate
Giorno festivo,1º settembre
Cartografia,Cartografia
Orte,Orte
Orte – MappaPosizione del comune di Orte nella provincia di Viterbo,Orte – MappaPosizione del comune di Orte nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
