Piansano comune,Piansano comune.1
,
Piansano – Veduta,Piansano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Roseo Melaragni (centro-sinistra) dal 27-5-2019
Territorio,Territorio
Coordinate,42°31′23″N 11°49′48″E
Altitudine,409 m s.l.m.
Superficie,"26,61 km²"
Abitanti,2 018[1] (30-11-2025)
Densità,"75,84 ab./km²"
Comuni confinanti,"Arlena di Castro, Capodimonte, Cellere, Tuscania, Tessennano, Valentano"
Altre informazioni,Altre informazioni
Cod. postale,01010
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056043
Cod. catastale,G571
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 146 GG[3]"
Nome abitanti,piansanesi
Patrono,San Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Piansano,Piansano
Piansano – MappaPosizione del comune di Piansano nella provincia di Viterbo,Piansano – MappaPosizione del comune di Piansano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
