Barbarano Romano comune,Barbarano Romano comune.1
,
Barbarano Romano – Veduta,Barbarano Romano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Rinaldo Marchesi (lista civica) dal 13-6-2022 (3º mandato)
Territorio,Territorio
Coordinate,42°15′01″N 12°04′03″E
Altitudine,340 m s.l.m.
Superficie,"37,56 km²"
Abitanti,980[1] (30-11-2025)
Densità,"26,09 ab./km²"
Comuni confinanti,"Blera, Capranica, Vejano, Vetralla, Villa San Giovanni in Tuscia"
Altre informazioni,Altre informazioni
Cod. postale,01010
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056004
Cod. catastale,A628
Targa,VT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 2 024 GG[3]"
Nome abitanti,barbaranesi
Patrono,santa Barbara
Giorno festivo,4 dicembre
Cartografia,Cartografia
Barbarano Romano,Barbarano Romano
Barbarano Romano – MappaPosizione del comune di Barbarano Romano nella provincia di Viterbo,Barbarano Romano – MappaPosizione del comune di Barbarano Romano nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
