Tarquinia comune,Tarquinia comune.1
,
Tarquinia – Veduta,Tarquinia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Francesco Sposetti (coalizione di centro-sinistra) dal 24-6-2024
Territorio,Territorio
Coordinate,42°14′57″N 11°45′22″E
Altitudine,133 m s.l.m.
Superficie,"279,34 km²"
Abitanti,15 847[1] (30-11-2025)
Densità,"56,73 ab./km²"
Frazioni,"Tarquinia Lido, Marina Velca, Saline, Sant'Agostino"
Comuni confinanti,"Allumiere (RM), Civitavecchia (RM), Montalto di Castro, Monte Romano, Tolfa (RM), Tuscania"
Altre informazioni,Altre informazioni
Cod. postale,01016
Prefisso,0766
Fuso orario,UTC+1
Codice ISTAT,056050
Cod. catastale,D024
Targa,VT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona D, 1 658 GG[3]"
Nome abitanti,tarquiniesi
Patrono,Madonna di Valverde
Giorno festivo,8 maggio
Cartografia,Cartografia
Tarquinia,Tarquinia
Tarquinia – MappaPosizione del comune di Tarquinia nella provincia di Viterbo,Tarquinia – MappaPosizione del comune di Tarquinia nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
