Bolsena comune,Bolsena comune.1
,
Bolsena – VedutaVeduta di Bolsena,Bolsena – VedutaVeduta di Bolsena
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Andrea di Sorte (Forza Italia) dal 10-6-2024
Territorio,Territorio
Coordinate,42°38′41″N 11°59′09″E
Altitudine,350 m s.l.m.
Superficie,"63,57 km²"
Abitanti,3 657[1] (30-11-2025)
Densità,"57,53 ab./km²"
Comuni confinanti,"Bagnoregio, Castel Giorgio (TR), Montefiascone, Orvieto (TR), San Lorenzo Nuovo"
Altre informazioni,Altre informazioni
Cod. postale,01023
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056008
Cod. catastale,A949
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 932 GG[3]"
Nome abitanti,bolsenesi
Patrono,santa Cristina di Bolsena
Giorno festivo,24 luglio
Soprannome,città del miracolo eucaristico[4]
Cartografia,Cartografia
Bolsena,Bolsena
Bolsena – MappaPosizione del comune di Bolsena nella provincia di Viterbo,Bolsena – MappaPosizione del comune di Bolsena nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
