Bagnoregio comune,Bagnoregio comune.1
,
Bagnoregio – VedutaLa Chiesa dell'Annunziata su Piazza Sant'Agostino,Bagnoregio – VedutaLa Chiesa dell'Annunziata su Piazza Sant'Agostino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Luca Profili (lista civica Profili sindaco) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°37′48″N 12°05′21″E
Altitudine,484 m s.l.m.
Superficie,"72,81 km²"
Abitanti,3 262[1] (30-11-2025)
Densità,"44,8 ab./km²"
Frazioni,"Capraccia, Castel Cellesi, Civita, Ponzano, Vetriolo."
Comuni confinanti,"Bolsena, Castiglione in Teverina, Celleno, Civitella d'Agliano, Lubriano, Montefiascone, Orvieto (TR), Viterbo"
Altre informazioni,Altre informazioni
Cod. postale,01022
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056003
Cod. catastale,A577
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 279 GG[3]"
Nome abitanti,bagnoresi
Patrono,san Bonaventura
Giorno festivo,15 luglio
Cartografia,Cartografia
Bagnoregio,Bagnoregio
Bagnoregio – MappaPosizione del comune di Bagnoregio nella provincia di Viterbo,Bagnoregio – MappaPosizione del comune di Bagnoregio nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
