Canepina comune,Canepina comune.1
,
Canepina – Veduta,Canepina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Aldo Maria Moneta (lista civica di centro-sinistra Democratici per Canepina) dal 26-5-2014 (3º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,42°22′59″N 12°13′58″E
Altitudine,501 m s.l.m.
Superficie,"20,85 km²"
Abitanti,2 909[1] (30-11-2025)
Densità,"139,52 ab./km²"
Comuni confinanti,"Caprarola, Soriano nel Cimino, Vallerano, Viterbo"
Altre informazioni,Altre informazioni
Cod. postale,01030
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056011
Cod. catastale,B597
Targa,VT
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona E, 2 309 GG[3]"
Nome abitanti,canepinesi
Patrono,santa Corona
Giorno festivo,14 maggio
Cartografia,Cartografia
Canepina,Canepina
Canepina – MappaPosizione del comune di Canepina nella provincia di Viterbo,Canepina – MappaPosizione del comune di Canepina nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
