Celleno comune,Celleno comune.1
,
Celleno – Veduta,Celleno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Beraldo Luca (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,42°33′39″N 12°08′14″E
Altitudine,407 m s.l.m.
Superficie,"23,82 km²"
Abitanti,1 319[1] (30-11-2025)
Densità,"55,37 ab./km²"
Comuni confinanti,"Bagnoregio, Viterbo"
Altre informazioni,Altre informazioni
Cod. postale,01020
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056019
Cod. catastale,C446
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 143 GG[3]"
Nome abitanti,cellenesi
Patrono,san Donato
Giorno festivo,14 settembre
Cartografia,Cartografia
Celleno,Celleno
Celleno – MappaPosizione del comune di Celleno nella provincia di Viterbo,Celleno – MappaPosizione del comune di Celleno nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
