Montalto di Castro comune,Montalto di Castro comune.1
,
Montalto di Castro – Veduta,Montalto di Castro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Emanuela Socciarelli (lista civica Idee in Comune) dal 13-6-2022
Territorio,Territorio
Coordinate,42°21′05″N 11°36′28″E
Altitudine,42 m s.l.m.
Superficie,"189,63 km²"
Abitanti,8 693[1] (30-11-2025)
Densità,"45,84 ab./km²"
Frazioni,"Montalto Marina, Montalto Scalo, Pescia Romana"
Comuni confinanti,"Canino, Capalbio (GR), Manciano (GR), Tarquinia, Tuscania"
Altre informazioni,Altre informazioni
Cod. postale,01014
Prefisso,0766
Fuso orario,UTC+1
Codice ISTAT,056035
Cod. catastale,F419
Targa,VT
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona D, 1 497 GG[3]"
Nome abitanti,montaltesi
Patrono,santi Quirino e Candido
Giorno festivo,9 marzo
Cartografia,Cartografia
Montalto di Castro,Montalto di Castro
Montalto di Castro – MappaPosizione del comune di Montalto di Castro nella provincia di Viterbo,Montalto di Castro – MappaPosizione del comune di Montalto di Castro nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
