Farnese comune,Farnese comune.1
,
Farnese – VedutaPanorama di Farnese,Farnese – VedutaPanorama di Farnese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Provincia,Viterbo
Amministrazione,Amministrazione
Sindaco,Giuseppe Ciucci (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,42°33′01″N 11°43′35″E
Altitudine,341 m s.l.m.
Superficie,"52,38 km²"
Abitanti,1 340[1] (30-11-2025)
Densità,"25,58 ab./km²"
Comuni confinanti,"Ischia di Castro, Pitigliano (GR), Valentano"
Altre informazioni,Altre informazioni
Cod. postale,01010
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,056026
Cod. catastale,D503
Targa,VT
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 2 026 GG[3]"
Nome abitanti,Farnesani
Patrono,Sant'Isidoro
Giorno festivo,10 maggio
Cartografia,Cartografia
Farnese,Farnese
Farnese – MappaPosizione del comune di Farnese nella provincia di Viterbo,Farnese – MappaPosizione del comune di Farnese nella provincia di Viterbo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
