Sant'Agata sul Santerno comune,Sant'Agata sul Santerno comune.1
,
Sant'Agata sul Santerno – VedutaScorcio della Piazza Umberto I,Sant'Agata sul Santerno – VedutaScorcio della Piazza Umberto I
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ravenna
Amministrazione,Amministrazione
Sindaco,Riccardo Sabadini (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,44°26′N 11°52′E
Altitudine,14 m s.l.m.
Superficie,"9,37 km²"
Abitanti,2 834[1] (30-11-2025)
Densità,"302,45 ab./km²"
Comuni confinanti,"Lugo, Massa Lombarda"
Altre informazioni,Altre informazioni
Cod. postale,48020
Prefisso,0545
Fuso orario,UTC+1
Codice ISTAT,039017
Cod. catastale,I196
Targa,RA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 470 GG[3]"
Nome abitanti,santagatesi
Patrono,sant'Agata
Giorno festivo,5 febbraio
Cartografia,Cartografia
Sant'Agata sul Santerno,Sant'Agata sul Santerno
Sant'Agata sul Santerno – MappaPosizione del comune di Sant'Agata sul Santerno nella provincia di Ravenna,Sant'Agata sul Santerno – MappaPosizione del comune di Sant'Agata sul Santerno nella provincia di Ravenna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
