Faenza comune,Faenza comune.1
,
Faenza – Veduta,Faenza – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ravenna
Amministrazione,Amministrazione
Sindaco,Massimo Isola (PD) dal 22-9-2020
Territorio,Territorio
Coordinate,44°17′08″N 11°53′00″E
Altitudine,44 m s.l.m.
Superficie,"215,76 km²"
Abitanti,58 760[1] (30-11-2025)
Densità,"272,34 ab./km²"
Frazioni,vedi elenco frazioni
Comuni confinanti,"Bagnacavallo, Brisighella, Castel Bolognese, Cotignola, Riolo Terme, Russi, Solarolo, Forlì (FC)"
Altre informazioni,Altre informazioni
Cod. postale,48018
Prefisso,0546
Fuso orario,UTC+1
Codice ISTAT,039010
Cod. catastale,D458
Targa,RA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 263 GG[3]"
Nome abitanti,"faentini, manfredi[4]"
Patrono,principale: Beata Vergine delle Grazie; secondario: san Pier Damiani
Giorno festivo,sabato precedente la seconda domenica di maggio
Soprannome,città della ceramica[5]
Cartografia,Cartografia
Faenza,Faenza
Faenza – MappaPosizione del comune di Faenza nella provincia di Ravenna,Faenza – MappaPosizione del comune di Faenza nella provincia di Ravenna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
