Massa Lombarda comune,Massa Lombarda comune.1
,
Massa Lombarda – Veduta,Massa Lombarda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ravenna
Amministrazione,Amministrazione
Sindaco,Stefano Sangiorgi (lista civica di centro-sinistra Massa Lombarda futura) dal 10-6-2024
Territorio,Territorio
Coordinate,44°27′N 11°49′E
Altitudine,13 m s.l.m.
Superficie,"37,25 km²"
Abitanti,10 922[1] (30-11-2025)
Densità,"293,21 ab./km²"
Frazioni,Villa Serraglio
Comuni confinanti,"Conselice, Imola (BO), Lugo, Mordano (BO), Sant'Agata sul Santerno"
Altre informazioni,Altre informazioni
Cod. postale,48024
Prefisso,0545
Fuso orario,UTC+1
Codice ISTAT,039013
Cod. catastale,F029
Targa,RA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 251 GG[3]"
Nome abitanti,massesi
Patrono,san Paolo
Giorno festivo,25 gennaio
Cartografia,Cartografia
Massa Lombarda,Massa Lombarda
Massa Lombarda – MappaPosizione del comune di Massa Lombarda nella provincia di Ravenna,Massa Lombarda – MappaPosizione del comune di Massa Lombarda nella provincia di Ravenna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
