Brisighella comune,Brisighella comune.1
,
Brisighella – VedutaPanorama dalla Rocca Manfrediana,Brisighella – VedutaPanorama dalla Rocca Manfrediana
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ravenna
Amministrazione,Amministrazione
Sindaco,Massimiliano Pederzoli (lista civica di centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°13′N 11°46′E
Altitudine,115 m s.l.m.
Superficie,"194,33 km²"
Abitanti,7 176[1] (30-11-2025)
Densità,"36,93 ab./km²"
Frazioni,"Castellina, Fognano, Marzeno, Montefortino, Monte Romano, Ponte Nono, San Cassiano, San Martino in Gattara, Sant'Eufemia, Strada Casale, Villa Vezzano, Zattaglia[2]"
Comuni confinanti,"Casola Valsenio, Castrocaro Terme e Terra del Sole (FC), Faenza, Forlì (FC), Marradi (FI), Modigliana (FC), Palazzuolo sul Senio (FI), Riolo Terme"
Altre informazioni,Altre informazioni
Cod. postale,48013
Prefisso,0546
Fuso orario,UTC+1
Codice ISTAT,039004
Cod. catastale,B188
Targa,RA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 396 GG[4]"
Nome abitanti,brisighellesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Brisighella,Brisighella
Brisighella – MappaPosizione del comune di Brisighella nella provincia di Ravenna,Brisighella – MappaPosizione del comune di Brisighella nella provincia di Ravenna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
