Lugo comune,Lugo comune.1
,
Lugo – Veduta,Lugo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ravenna
Amministrazione,Amministrazione
Sindaco,Elena Zannoni (PD) dal 10-6-2024
Territorio,Territorio
Coordinate,44°25′N 11°55′E
Altitudine,15 m s.l.m.
Superficie,"117,06 km²"
Abitanti,32 130[1] (30-11-2025)
Densità,"274,47 ab./km²"
Frazioni,"Ascensione, Belricetto, Bizzuno, Ca' di Lugo, Campanile, Chiesanuova, Ciribella, Frascata, Giovecca, Malcantone, Passogatto, San Bernardino, San Lorenzo, San Potito, Santa Maria in Fabriago, Torre, Villa San Martino, Viola, Voltana, Zagonara"
Comuni confinanti,"Alfonsine, Bagnacavallo, Bagnara di Romagna, Conselice, Cotignola, Fusignano, Massa Lombarda, Mordano (BO), Sant'Agata sul Santerno"
Altre informazioni,Altre informazioni
Cod. postale,48022
Prefisso,0545
Fuso orario,UTC+1
Codice ISTAT,039012
Cod. catastale,E730
Targa,RA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 468 GG[3]"
Nome abitanti,lughesi
Patrono,sant'Illaro; compatrono san Francesco di Paola
Giorno festivo,15 maggio
Cartografia,Cartografia
Lugo,Lugo
Lugo – MappaPosizione del comune di Lugo nella provincia di Ravenna,Lugo – MappaPosizione del comune di Lugo nella provincia di Ravenna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
