Riolo Terme comune,Riolo Terme comune.1
,
Riolo Terme – Veduta,Riolo Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ravenna
Amministrazione,Amministrazione
Sindaco,Federica Malavolti (Partito Democratico) dal 13-6-2022
Territorio,Territorio
Coordinate,44°17′N 11°44′E
Altitudine,98 m s.l.m.
Superficie,"44,26 km²"
Abitanti,5 808[1] (30-11-2025)
Densità,"131,22 ab./km²"
Frazioni,"Borgo Rivola, Cuffiano, Isola, Mazzolano, Torranello"
Comuni confinanti,"Borgo Tossignano (BO), Brisighella, Casola Valsenio, Castel Bolognese, Faenza, Imola (BO)"
Altre informazioni,Altre informazioni
Cod. postale,48025
Prefisso,0546
Fuso orario,UTC+1
Codice ISTAT,039015
Cod. catastale,H302
Targa,RA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 349 GG[3]"
Nome abitanti,riolesi
Patrono,"san Giovanni Battista, Beata Vergine del Rosario"
Giorno festivo,primo lunedì di maggio[4]
Cartografia,Cartografia
Riolo Terme,Riolo Terme
Riolo Terme – MappaPosizione del comune di Riolo Terme nella provincia di Ravenna,Riolo Terme – MappaPosizione del comune di Riolo Terme nella provincia di Ravenna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
