Castel Bolognese comune,Castel Bolognese comune.1
,
Castel Bolognese – VedutaVia Emilia Interna,Castel Bolognese – VedutaVia Emilia Interna
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ravenna
Amministrazione,Amministrazione
Sindaco,Luca Della Godenza (lista civica di centro-sinistra Democratici per Castello) dal 27-5-2019
Territorio,Territorio
Coordinate,44°19′N 11°48′E
Altitudine,42 m s.l.m.
Superficie,"32,37 km²"
Abitanti,9 485[1] (30-11-2025)
Densità,"293,02 ab./km²"
Frazioni,"Biancanigo, Borello, Campiano, Casalecchio, Pace, Serra"
Comuni confinanti,"Faenza, Imola (BO), Riolo Terme, Solarolo"
Altre informazioni,Altre informazioni
Cod. postale,48014
Prefisso,0546
Fuso orario,UTC+1
Codice ISTAT,039006
Cod. catastale,C065
Targa,RA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 279 GG[3]"
Nome abitanti,castellani
Patrono,"san Petronio, sant'Emidio (copatrono)"
Giorno festivo,lunedì di Pentecoste
Cartografia,Cartografia
Castel Bolognese,Castel Bolognese
Castel Bolognese – MappaPosizione del comune di Castel Bolognese nella provincia di Ravenna,Castel Bolognese – MappaPosizione del comune di Castel Bolognese nella provincia di Ravenna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
