Fusignano comune,Fusignano comune.1
,
Fusignano – Veduta,Fusignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ravenna
Amministrazione,Amministrazione
Sindaco,Nicola Pondi (lista civica Insieme per Fusignano) dal 10-6-2024
Territorio,Territorio
Coordinate,44°28′N 11°57′E
Altitudine,9 m s.l.m.
Superficie,"24,55 km²"
Abitanti,8 260[1] (30-11-2025)
Densità,"336,46 ab./km²"
Frazioni,"Maiano Monti, Maiano Nuovo, Rossetta, San Savino, Scambio"
Comuni confinanti,"Alfonsine, Bagnacavallo, Lugo"
Altre informazioni,Altre informazioni
Cod. postale,48034
Prefisso,0545
Fuso orario,UTC+1
Codice ISTAT,039011
Cod. catastale,D829
Targa,RA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 464 GG[3]"
Nome abitanti,fusignanesi
Patrono,natività della Beata Vergine Maria
Giorno festivo,8 settembre
Cartografia,Cartografia
Fusignano,Fusignano
Fusignano – MappaPosizione del comune di Fusignano nella provincia di Ravenna,Fusignano – MappaPosizione del comune di Fusignano nella provincia di Ravenna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
