Russi comune,Russi comune.1
,
Russi – VedutaLa Torre civica,Russi – VedutaLa Torre civica
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Ravenna
Amministrazione,Amministrazione
Sindaco,Valentina Palli (PD) dal 27-5-2019 (2° mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°22′35.22″N 12°02′00.06″E
Altitudine,13 m s.l.m.
Superficie,"46,26 km²"
Abitanti,12 276[1] (30-11-2025)
Densità,"265,37 ab./km²"
Frazioni,"Godo, San Pancrazio Località: Chiesuola, Cortina, Pezzolo, Prada di Russi[2]"
Comuni confinanti,"Bagnacavallo, Faenza, Forlì (FC), Ravenna"
Altre informazioni,Altre informazioni
Cod. postale,48026
Prefisso,0544
Fuso orario,UTC+1
Codice ISTAT,039016
Cod. catastale,H642
Targa,RA
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 469 GG[4]"
Nome abitanti,russiani
Patrono,sant'Apollinare
Giorno festivo,23 luglio
Cartografia,Cartografia
Russi,Russi
Russi – MappaPosizione del comune di Russi nella provincia di Ravenna,Russi – MappaPosizione del comune di Russi nella provincia di Ravenna
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
