Placanica comune,Placanica comune.1
,
Placanica – Veduta,Placanica – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Antonio Condemi (lista civica) dal 6-12-2012 (3º mandato dal 14-6-2022)
Territorio,Territorio
Coordinate,38°25′N 16°27′E
Altitudine,240 m s.l.m.
Superficie,"29,51 km²"
Abitanti,981[1] (30-11-2025)
Densità,"33,24 ab./km²"
Frazioni,"Colavono, Cucuzzi, Giardino, Pietra, Sambrase, Santa Domenica, Survia, Titi, Tuffarelli, Valenti"
Comuni confinanti,"Caulonia, Pazzano, Stignano"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080059
Cod. catastale,G729
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,placanichesi
Patrono,Sant'Emidio e Maria Santissima Addolorata
Giorno festivo,5 agosto - terza domenica di settembre
Cartografia,Cartografia
Placanica,Placanica
Placanica – MappaPosizione del comune di Placanica all'interno della città metropolitana di Reggio Calabria,Placanica – MappaPosizione del comune di Placanica all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
