Candidoni comune,Candidoni comune.1
,
Candidoni – Veduta,Candidoni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Vincenzo Cavallaro (lista civica) dal 27-5-2013 (3º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,38°31′33.3″N 16°01′43.98″E
Altitudine,239 m s.l.m.
Superficie,"26,95 km²"
Abitanti,408[1] (30-11-2025)
Densità,"15,14 ab./km²"
Comuni confinanti,"Laureana di Borrello, Limbadi (VV), Mileto (VV), Nicotera (VV), Rosarno, San Calogero (VV), Serrata"
Altre informazioni,Altre informazioni
Cod. postale,89020
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080019
Cod. catastale,B591
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,candidonesi
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Candidoni,Candidoni
Candidoni – MappaPosizione del comune di Candidoni all'interno della città metropolitana di Reggio Calabria,Candidoni – MappaPosizione del comune di Candidoni all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
