San Ferdinando comune,San Ferdinando comune.1
,
San Ferdinando – VedutaMunicipio,San Ferdinando – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Gianluca Gaetano (Lista civica Vivi San Ferdinando) dal 12-06-2022
Data di istituzione,1977
Territorio,Territorio
Coordinate,38°29′12″N 15°55′11″E
Altitudine,6 m s.l.m.
Superficie,"14,2 km²"
Abitanti,4 464[1] (30-11-2025)
Densità,"314,37 ab./km²"
Frazioni,"Pineta, Porta Sole, Torre"
Comuni confinanti,"Gioia Tauro, Rosarno"
Altre informazioni,Altre informazioni
Cod. postale,89026
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080097
Cod. catastale,M277
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona B, 691 GG[3]"
Nome abitanti,sanferdinandesi
Patrono,san Ferdinando
Giorno festivo,30 maggio
Cartografia,Cartografia
San Ferdinando,San Ferdinando
San Ferdinando – MappaPosizione del comune di San Ferdinando all'interno della città metropolitana di Reggio Calabria,San Ferdinando – MappaPosizione del comune di San Ferdinando all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
