Gioia Tauro comune,Gioia Tauro comune.1
(dettagli),(dettagli)
Gioia Tauro – Veduta,Gioia Tauro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Simona Scarcella (Forza Italia) dal 24-6-2024
Territorio,Territorio
Coordinate,38°26′N 15°54′E
Altitudine,29 m s.l.m.
Superficie,"39,87 km²"
Abitanti,19 324[1] (30-11-2025)
Densità,"484,68 ab./km²"
Frazioni,"Eranova,[2] Piano delle Fosse,[3] Villa Cordopatri"
Comuni confinanti,"Palmi, Rizziconi, Rosarno, San Ferdinando, Seminara"
Altre informazioni,Altre informazioni
Cod. postale,89013
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080038
Cod. catastale,E041
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona C, 1 010 GG[5]"
Nome abitanti,gioiesi
Patrono,sant'Ippolito martire
Giorno festivo,13 agosto
Cartografia,Cartografia
Gioia Tauro,Gioia Tauro
Gioia Tauro – MappaPosizione del comune di Gioia Tauro nell'ambito della città metropolitana di Reggio Calabria,Gioia Tauro – MappaPosizione del comune di Gioia Tauro nell'ambito della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
