Maropati comune,Maropati comune.1
,
Maropati – VedutaChiesa di Santa Lucia,Maropati – VedutaChiesa di Santa Lucia
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Rocco Giorgio Ciurleo (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,38°26′57.49″N 16°05′53.48″E
Altitudine,239 m s.l.m.
Superficie,"10,52 km²"
Abitanti,1 285[1] (30-11-2025)
Densità,"122,15 ab./km²"
Frazioni,Tritanti
Comuni confinanti,"Anoia, Feroleto della Chiesa, Galatro, Giffone"
Altre informazioni,Altre informazioni
Cod. postale,89020
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080046
Cod. catastale,E968
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 154 GG[3]"
Nome abitanti,maropatesi e tritantesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Maropati,Maropati
Maropati – MappaPosizione del comune di Maropati all'interno della città metropolitana di Reggio Calabria,Maropati – MappaPosizione del comune di Maropati all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
