Antonimina comune,Antonimina comune.1
,
Antonimina – VedutaPanorama,Antonimina – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Giuseppe Murdaca (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,38°16′56.93″N 16°09′32.31″E
Altitudine,327 m s.l.m.
Superficie,"22,91 km²"
Abitanti,1 151[1] (30-11-2025)
Densità,"50,24 ab./km²"
Frazioni,"Bagni Termali, San Nicola, Tre Arie"
Comuni confinanti,"Ciminà, Cittanova, Gerace, Locri, Portigliola, Sant'Ilario dello Ionio"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080004
Cod. catastale,A314
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 168 GG[3]"
Nome abitanti,antoniminesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Antonimina,Antonimina
Antonimina – MappaPosizione del comune di Antonimina all'interno della città metropolitana di Reggio Calabria,Antonimina – MappaPosizione del comune di Antonimina all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
