Seminara comune,Seminara comune.1
,
Seminara – VedutaPanorama di Seminara,Seminara – VedutaPanorama di Seminara
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,"Giovanni Piccolo (lista civica ""Rinnova menti"") dal 4-10-2021"
Territorio,Territorio
Coordinate,38°20′N 15°52′E
Altitudine,290 m s.l.m.
Superficie,"33,85 km²"
Abitanti,2 473[1] (30-11-2025)
Densità,"73,06 ab./km²"
Frazioni,"Barritteri, Sant'Anna di Seminara, Paparone, Pontevecchio, Garanta"
Comuni confinanti,"Palmi, Bagnara Calabra, Gioia Tauro, Melicuccà, Oppido Mamertina, Rizziconi, San Procopio"
Altre informazioni,Altre informazioni
Cod. postale,89028
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080086
Cod. catastale,I600
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,seminaresi
Patrono,san Mercurio di Cesarea
Giorno festivo,25 novembre
Cartografia,Cartografia
Seminara,Seminara
Seminara – MappaPosizione del comune di Seminara all'interno della città metropolitana di Reggio Calabria,Seminara – MappaPosizione del comune di Seminara all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
