Varapodio comune,Varapodio comune.1
,
Varapodio – VedutaPiazza San Nicola,Varapodio – VedutaPiazza San Nicola
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,"Orlando Fazzolari (lista civica di centro-destra ""Partecipazione e Rinnovamento per Varapodio"") dal 12-6-2022"
Territorio,Territorio
Coordinate,38°19′N 15°59′E
Altitudine,231 m s.l.m.
Superficie,"29,12 km²"
Abitanti,2 073[1] (30-11-2025)
Densità,"71,19 ab./km²"
Comuni confinanti,"Ciminà, Molochio, Oppido Mamertina, Platì, Taurianova, Terranova Sappo Minulio"
Altre informazioni,Altre informazioni
Cod. postale,89010
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080095
Cod. catastale,L673
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,varapodiesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Varapodio,Varapodio
Varapodio – MappaPosizione del comune di Varapodio nella città metropolitana di Reggio Calabria,Varapodio – MappaPosizione del comune di Varapodio nella città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
