Melicucco comune,Melicucco comune.1
,
Melicucco – Veduta,Melicucco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Francesco Nicolaci (lista civica) dal 6-10-2021
Data di istituzione,14-7-1936
Territorio,Territorio
Coordinate,38°26′N 16°03′E
Altitudine,167 m s.l.m.
Superficie,"6,73 km²"
Abitanti,4 845[1] (30-11-2025)
Densità,"719,91 ab./km²"
Frazioni,San Fili (greco-calabro: Aia Fili')
Comuni confinanti,"Anoia, Cittanova, Feroleto della Chiesa, Polistena, Rosarno"
Altre informazioni,Altre informazioni
Cod. postale,89020
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080049
Cod. catastale,F106
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 003 GG[3]"
Nome abitanti,melicucchesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Melicucco,Melicucco
Melicucco – MappaPosizione del comune di Melicucco all'interno della città metropolitana di Reggio Calabria,Melicucco – MappaPosizione del comune di Melicucco all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
