Melicuccà comune,Melicuccà comune.1
,
Melicuccà – Veduta,Melicuccà – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Vincenzo Oliverio (lista civica) dal 5-10-2021
Territorio,Territorio
Coordinate,38°18′11.2″N 15°52′53.51″E
Altitudine,273 m s.l.m.
Superficie,"17,4 km²"
Abitanti,783[1] (30-11-2025)
Densità,45 ab./km²
Comuni confinanti,"Bagnara Calabra, San Procopio, Sant'Eufemia d'Aspromonte, Seminara"
Altre informazioni,Altre informazioni
Cod. postale,89020
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080048
Cod. catastale,F105
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 919 GG[3]"
Nome abitanti,melicucchesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Melicuccà,Melicuccà
Melicuccà – MappaPosizione del comune di Melicuccà all'interno della città metropolitana di Reggio Calabria,Melicuccà – MappaPosizione del comune di Melicuccà all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
