Terranova Sappo Minulio comune,Terranova Sappo Minulio comune.1
,
Terranova Sappo Minulio – Veduta,Terranova Sappo Minulio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Ettore Tigani (lista civica “ Primavera Terranovese - Uniti per rinascere”) dal 12-06-2022
Territorio,Territorio
Coordinate,38°19′N 16°00′E
Altitudine,250 m s.l.m.
Superficie,"9,12 km²"
Abitanti,408[1] (30-11-2025)
Densità,"44,74 ab./km²"
Frazioni,Scroforio
Comuni confinanti,"Molochio, Taurianova, Varapodio"
Altre informazioni,Altre informazioni
Cod. postale,89010
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080094
Cod. catastale,L127
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,terranovesi
Patrono,San Martino
Giorno festivo,3 maggio
Cartografia,Cartografia
Terranova Sappo Minulio,Terranova Sappo Minulio
Terranova Sappo Minulio – MappaPosizione del comune di Terranova Sappo Minulio all'interno della città metropolitana di Reggio Calabria,Terranova Sappo Minulio – MappaPosizione del comune di Terranova Sappo Minulio all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
