Oppido Mamertina comune,Oppido Mamertina comune.1
,
Oppido Mamertina – VedutaLa cattedrale,Oppido Mamertina – VedutaLa cattedrale
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Giuseppe Morizzi (Aria nuova) dal 10-6-2024
Territorio,Territorio
Coordinate,38°18′N 15°59′E
Altitudine,321 m s.l.m.
Superficie,"58,88 km²"
Abitanti,4 672[1] (30-11-2025)
Densità,"79,35 ab./km²"
Frazioni,"Castellace, Messignadi, Piminoro, Tresilico."
Comuni confinanti,"Cosoleto, Platì, Rizziconi, San Procopio, Santa Cristina d'Aspromonte, Seminara, Sinopoli, Taurianova, Varapodio"
Altre informazioni,Altre informazioni
Cod. postale,89014
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080055
Cod. catastale,G082
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,oppidesi
Patrono,Maria SS. Annunziata
Giorno festivo,25 marzo
Cartografia,Cartografia
Oppido Mamertina,Oppido Mamertina
Oppido Mamertina – MappaPosizione del comune di Oppido Mamertina nell'ambito della città metropolitana di Reggio Calabria,Oppido Mamertina – MappaPosizione del comune di Oppido Mamertina nell'ambito della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
