Gerace comune,Gerace comune.1
,
Gerace – Veduta,Gerace – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Rudi Lizzi (Azione) dal 10-6-2024
Territorio,Territorio
Coordinate,38°16′N 16°13′E
Altitudine,500 m s.l.m.
Superficie,"28,99 km²"
Abitanti,2 273[1] (30-11-2025)
Densità,"78,41 ab./km²"
Comuni confinanti,"Agnana Calabra, Antonimina, Canolo, Cittanova, Locri, Siderno"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080036
Cod. catastale,D975
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 699 GG[3]"
Nome abitanti,geracesi
Patrono,"sant'Antonio del Castello, santa Veneranda di Gerace, Immacolata Concezione e Jeiunio di Gerace"
Giorno festivo,23 agosto
Cartografia,Cartografia
Gerace,Gerace
Gerace – MappaPosizione del comune di Gerace all'interno della città metropolitana di Reggio Calabria,Gerace – MappaPosizione del comune di Gerace all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
