Samo comune,Samo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Paolo Pulitanò (lista civica Uniti per Samo) dal 22-9-2020
Data di istituzione,19-12-1807
Territorio,Territorio
Coordinate,38°04′N 16°04′E
Altitudine,280 m s.l.m.
Superficie,"50,22 km²"
Abitanti,679[1] (30-11-2025)
Densità,"13,52 ab./km²"
Comuni confinanti,"Africo, Cosoleto, San Luca, Sant'Agata del Bianco"
Altre informazioni,Altre informazioni
Cod. postale,89030
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080070
Cod. catastale,H013
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,samesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno[3]
Cartografia,Cartografia
Samo,Samo
Samo – MappaPosizione del comune di Samo all'interno della città metropolitana di Reggio Calabria,Samo – MappaPosizione del comune di Samo all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
