Feroleto della Chiesa comune,Feroleto della Chiesa comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Antonio Tranquilla (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,38°28′N 16°04′E
Altitudine,159 m s.l.m.
Superficie,"7,56 km²"
Abitanti,1 495[1] (30-11-2025)
Densità,"197,75 ab./km²"
Frazioni,Plaesano
Comuni confinanti,"Anoia, Galatro, Laureana di Borrello, Maropati, Melicucco, Rosarno"
Altre informazioni,Altre informazioni
Cod. postale,89050
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080032
Cod. catastale,D545
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 015 GG[3]"
Nome abitanti,feroletani
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Feroleto della Chiesa,Feroleto della Chiesa
Feroleto della Chiesa – MappaPosizione del comune di Feroleto della Chiesa all'interno della città metropolitana di Reggio Calabria,Feroleto della Chiesa – MappaPosizione del comune di Feroleto della Chiesa all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
