Villa San Giovanni comune,Villa San Giovanni comune.1
,
Villa San Giovanni – VedutaPanorama di Villa San Giovanni,Villa San Giovanni – VedutaPanorama di Villa San Giovanni
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,"Giuseppina Caminiti (lista civica ""Lista Civica Per Villa"") dal 13-06-2022"
Territorio,Territorio
Coordinate,38°13′N 15°38′E
Altitudine,15 m s.l.m.
Superficie,"12,17 km²"
Abitanti,12 670[1] (30-11-2025)
Densità,"1 041,08 ab./km²"
Frazioni,"Acciarello, Cannitello, Case Alte, Ferrito, Pezzo, Piale, Porticello, Immacolata"
Comuni confinanti,"Campo Calabro, Fiumara, Reggio Calabria, Scilla"
Altre informazioni,Altre informazioni
Cod. postale,89018
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080096
Cod. catastale,M018
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,villesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Villa San Giovanni,Villa San Giovanni
Villa San Giovanni – MappaPosizione del comune di Villa San Giovanni nella città metropolitana di Reggio Calabria,Villa San Giovanni – MappaPosizione del comune di Villa San Giovanni nella città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
