Bruzzano Zeffirio comune,Bruzzano Zeffirio comune.1
,
Bruzzano Zeffirio – Veduta,Bruzzano Zeffirio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Giuseppe Antonio Cuzzola (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,38°01′N 16°05′E
Altitudine,82 m s.l.m.
Superficie,"20,74 km²"
Abitanti,1 014[1] (30-11-2025)
Densità,"48,89 ab./km²"
Comuni confinanti,"Africo, Brancaleone, Ferruzzano, Sant'Agata del Bianco, Staiti"
Altre informazioni,Altre informazioni
Cod. postale,89030
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080015
Cod. catastale,B234
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,bruzzaniti
Patrono,Madonna della Catena
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Bruzzano Zeffirio,Bruzzano Zeffirio
Bruzzano Zeffirio – MappaPosizione del comune di Bruzzano Zeffirio all'interno della città metropolitana di Reggio Calabria,Bruzzano Zeffirio – MappaPosizione del comune di Bruzzano Zeffirio all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
