Cittanova comune,Cittanova comune.1
,
"Cittanova – VedutaVilla Comunale ""Carlo Ruggiero"".","Cittanova – VedutaVilla Comunale ""Carlo Ruggiero""."
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Domenico Antico (lista civica Uniamo Cittanova) dall'11-6-2024
Territorio,Territorio
Coordinate,38°21′N 16°05′E
Altitudine,400[1] m s.l.m.
Superficie,"61,98[2] km²"
Abitanti,9 582[3] (30-11-2025)
Densità,"154,6 ab./km²"
Frazioni,"Carbonara, Feudotti I, Feudotti II, Fiolli, Fontana di Piazza, San Pietro, Zomaro"
Comuni confinanti,"Antonimina, Canolo, Ciminà, Gerace, Melicucco, Molochio, Polistena, Rizziconi, Rosarno, San Giorgio Morgeto, Taurianova"
Altre informazioni,Altre informazioni
Cod. postale,89022
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080028
Cod. catastale,C747
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[4]
Cl. climatica,"zona D, 1 423 GG[5]"
Nome abitanti,cittanovesi
Patrono,san Girolamo
Giorno festivo,30 settembre
Cartografia,Cartografia
Cittanova,Cittanova
Cittanova – MappaTerritorio del comune di Cittanova nella città metropolitana di Reggio Calabria,Cittanova – MappaTerritorio del comune di Cittanova nella città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
