Bova Marina comune,Bova Marina comune.1
,
Bova Marina – Veduta,Bova Marina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Andrea Zirilli (lista civica CambiAmo Bova Marina) dal 9-6-2024
Territorio,Territorio
Coordinate,37°56′N 15°55′E
Altitudine,20 m s.l.m.
Superficie,"29,5 km²"
Abitanti,3 928[1] (30-11-2025)
Densità,"133,15 ab./km²"
Frazioni,"Amygdalià, Apambero, Borgo, Centro, Costa dei Saraceni, Fondo Vena, Mesofugna, San Pasquale, Marsuddia."
Comuni confinanti,"Bova, Condofuri, Palizzi"
Altre informazioni,Altre informazioni
Cod. postale,89035
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080013
Cod. catastale,B099
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona B, 765 GG[3]"
Nome abitanti,bovesi
Patrono,Madonna del Mare (Stella Maris)
Giorno festivo,1ª settimana di agosto
Cartografia,Cartografia
Bova Marina,Bova Marina
Bova Marina – MappaPosizione del comune di Bova Marina all'interno della città metropolitana di Reggio Calabria,Bova Marina – MappaPosizione del comune di Bova Marina all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
