Polistena comune,Polistena comune.1
,
Polistena – VedutaUna veduta aerea del centro abitato,Polistena – VedutaUna veduta aerea del centro abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Michele Tripodi (lista civica di sinistra) dal 5-10-2021
Territorio,Territorio
Coordinate,38°24′N 16°04′E
Altitudine,254[1] m s.l.m.
Superficie,"11,77 km²"
Abitanti,9 831[2] (30-11-2025)
Densità,"835,26 ab./km²"
Frazioni,Primogenito
Comuni confinanti,"Anoia, Cinquefrondi, Cittanova, Melicucco, San Giorgio Morgeto"
Altre informazioni,Altre informazioni
Cod. postale,89024
Prefisso,0966
Fuso orario,UTC+1
Codice ISTAT,080061
Cod. catastale,G791
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona C, 1 185 GG[4]"
Nome abitanti,polistenesi
Patrono,santa Marina Vergine di Bitinia
Giorno festivo,17 luglio
Cartografia,Cartografia
Polistena,Polistena
Polistena – MappaPosizione del comune di Polistena all'interno della città metropolitana di Reggio Calabria,Polistena – MappaPosizione del comune di Polistena all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
