Pazzano comune,Pazzano comune.1
,
Pazzano – VedutaPazzano nel 2007 da località Vrisi,Pazzano – VedutaPazzano nel 2007 da località Vrisi
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Francesco Valenti (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,38°28′35″N 16°27′06″E
Altitudine,410 m s.l.m.
Superficie,"15,57 km²"
Abitanti,495[1] (30-11-2025)
Densità,"31,79 ab./km²"
Comuni confinanti,"Bivongi, Caulonia, Nardodipace (VV), Placanica, Stignano, Stilo"
Altre informazioni,Altre informazioni
Cod. postale,89040
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080058
Cod. catastale,G394
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 511 GG[3]"
Nome abitanti,pazzanesi o pazzaniti
Patrono,san Giuseppe e Santissimo Salvatore
Giorno festivo,19 marzo e 6 agosto o (domenica vicina)
Cartografia,Cartografia
Pazzano,Pazzano
Pazzano – MappaPosizione del comune di Pazzano all'interno della città metropolitana di Reggio Calabria,Pazzano – MappaPosizione del comune di Pazzano all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
