San Luca comune,San Luca comune.1
,
San Luca – Veduta,San Luca – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Amministratore locale,"Antonio Reppucci, Matilde Mulé, Rosario Fusaro (commissione straordinaria) dal 10-4-2025"
Data di istituzione,19-12-1807
Territorio,Territorio
Coordinate,38°09′N 16°04′E
Altitudine,250 m s.l.m.
Superficie,"105,35 km²"
Abitanti,3 299[1] (30-11-2025)
Densità,"31,31 ab./km²"
Frazioni,"Ientile, Polsi, Ricciolio, Vorea (Greco Calabro: Vorià)"
Comuni confinanti,"Benestare, Bovalino, Careri, Casignana, Cosoleto, Delianuova, Samo, Sant'Agata del Bianco, Santa Cristina d'Aspromonte, Scido"
Altre informazioni,Altre informazioni
Cod. postale,89030
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080074
Cod. catastale,H970
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,sanluchesi
Patrono,san Luca evangelista
Giorno festivo,18 ottobre
Cartografia,Cartografia
San Luca,San Luca
San Luca – MappaPosizione del comune di San Luca all'interno della città metropolitana di Reggio Calabria,San Luca – MappaPosizione del comune di San Luca all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
