Montebello Jonico comune,Montebello Jonico comune.1
,
Montebello Jonico – VedutaLe Rocche di Prastarà,Montebello Jonico – VedutaLe Rocche di Prastarà
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Maria Foti (lista civica) dal 23-9-2020
Territorio,Territorio
Coordinate,37°59′N 15°46′E
Altitudine,425 m s.l.m.
Superficie,"56,45 km²"
Abitanti,5 465[1] (30-11-2025)
Densità,"96,81 ab./km²"
Frazioni,"Fossato Ionico, Saline Joniche"
Comuni confinanti,"Bagaladi, Melito di Porto Salvo, Motta San Giovanni, Reggio Calabria, San Lorenzo"
Altre informazioni,Altre informazioni
Cod. postale,89064
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080053
Cod. catastale,D746
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 635 GG[3]"
Nome abitanti,montebellesi
Patrono,Maria SS. bambina presentata al Tempio
Giorno festivo,21 novembre
Cartografia,Cartografia
Montebello Jonico,Montebello Jonico
Montebello Jonico – MappaPosizione del comune di Montebello Jonico all'interno della città metropolitana di Reggio Calabria,Montebello Jonico – MappaPosizione del comune di Montebello Jonico all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
