Sant'Agata del Bianco comune,Sant'Agata del Bianco comune.1
,
Sant'Agata del Bianco – VedutaPanorama di Sant'Agata del Bianco,Sant'Agata del Bianco – VedutaPanorama di Sant'Agata del Bianco
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Domenico Stranieri (lista civica Insieme per Sant'Agata) dal 5-6-2016 (2º mandato dal 4-10-2021)
Data di istituzione,19-12-1807
Territorio,Territorio
Coordinate,38°04′38.14″N 16°02′47.76″E
Altitudine,405 m s.l.m.
Superficie,"20,2 km²"
Abitanti,524[1] (30-11-2025)
Densità,"25,94 ab./km²"
Comuni confinanti,"Africo, Bruzzano Zeffirio, Caraffa del Bianco, Casignana, Ferruzzano, Samo, San Luca"
Altre informazioni,Altre informazioni
Cod. postale,89030
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080079
Cod. catastale,I198
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,santagatesi
Patrono,sant'Agata
Cartografia,Cartografia
Sant'Agata del Bianco,Sant'Agata del Bianco
Sant'Agata del Bianco – MappaPosizione del comune di Sant'Agata del Bianco all'interno della città metropolitana di Reggio Calabria,Sant'Agata del Bianco – MappaPosizione del comune di Sant'Agata del Bianco all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
