Africo comune,Africo comune.1
,
Africo – Veduta,Africo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Domenico Modaffari (lista civica) dall'8-11-2021
Territorio,Territorio
Coordinate,38°03′02.41″N 16°07′59.52″E
Altitudine,15 m s.l.m.
Superficie,"53,9 km²"
Abitanti,2 676[1] (30-11-2025)
Densità,"49,65 ab./km²"
Comuni confinanti,"Bianco, Bruzzano Zeffirio, Bova, Cosoleto, Roghudi, Samo, Sant'Agata del Bianco, Staiti"
Altre informazioni,Altre informazioni
Cod. postale,89030
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080001
Cod. catastale,A065
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona B, 664 GG[3]"
Nome abitanti,"africesi, africoti"
Patrono,san Leo di Africo/San Salvatore
Giorno festivo,12 maggio/6 agosto
Cartografia,Cartografia
Africo,Africo
Africo – MappaPosizione del comune di Africo all'interno della città metropolitana di Reggio Calabria,Africo – MappaPosizione del comune di Africo all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
