San Lorenzo comune,San Lorenzo comune.1
,
San Lorenzo – VedutaVeduta di San Lorenzo,San Lorenzo – VedutaVeduta di San Lorenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Natale Alessandro Polimeni (San Lorenzo Sveglia!) dal 26-5-2025
Territorio,Territorio
Coordinate,38°01′N 15°50′E
Altitudine,787 m s.l.m.
Superficie,"64,52 km²"
Abitanti,2 078[1] (30-11-2025)
Densità,"32,21 ab./km²"
Frazioni,"Chorio, Contrada Croce, Lanzina, Marina di San Lorenzo, San Fantino, San Pantaleone, Santa Maria"
Comuni confinanti,"Bagaladi, Condofuri, Melito di Porto Salvo, Montebello Jonico, Roccaforte del Greco"
Altre informazioni,Altre informazioni
Cod. postale,89069
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080073
Cod. catastale,H959
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,laurentini
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
San Lorenzo,San Lorenzo
San Lorenzo – MappaPosizione del comune di San Lorenzo all'interno della città metropolitana di Reggio Calabria,San Lorenzo – MappaPosizione del comune di San Lorenzo all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
