Siderno comune,Siderno comune.1
,
Siderno – Veduta,Siderno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Mariateresa Fragomeni (PD) dal 31-12-2021
Territorio,Territorio
Coordinate,38°16′N 16°18′E
Altitudine,10 m s.l.m.
Superficie,"31,86 km²"
Abitanti,17 610[1] (30-11-2025)
Densità,"552,73 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Agnana Calabra, Gerace, Grotteria, Locri, Mammola"
Altre informazioni,Altre informazioni
Cod. postale,89048
Prefisso,0964
Fuso orario,UTC+1
Codice ISTAT,080088
Cod. catastale,I725
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,sidernesi
Patrono,Maria SS. di Portosalvo
Giorno festivo,8 settembre
Cartografia,Cartografia
Siderno,Siderno
Siderno – MappaPosizione del comune di Siderno nella città metropolitana di Reggio Calabria,Siderno – MappaPosizione del comune di Siderno nella città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
