Campo Calabro comune,Campo Calabro comune.1
,
Campo Calabro – VedutaIl forte Siacci,Campo Calabro – VedutaIl forte Siacci
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Rocco Alessandro Repaci (lista civica) dal 12-6-2017 (2º mandato dal 14-6-2022)
Territorio,Territorio
Coordinate,38°13′N 15°40′E
Altitudine,138 m s.l.m.
Superficie,"8,01 km²"
Abitanti,4 510[1] (30-11-2025)
Densità,"563,05 ab./km²"
Frazioni,"Campo Piale, Matiniti, Mortille, Musalà, Santa Lucia"
Comuni confinanti,"Fiumara, Reggio Calabria, Villa San Giovanni"
Altre informazioni,Altre informazioni
Cod. postale,89052
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080018
Cod. catastale,B516
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,Campesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Campo Calabro,Campo Calabro
Campo Calabro – MappaPosizione del comune di Campo Calabro all'interno della città metropolitana di Reggio Calabria,Campo Calabro – MappaPosizione del comune di Campo Calabro all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
