Motta San Giovanni comune,Motta San Giovanni comune.1
,
Motta San Giovanni – VedutaChiesa Santa Maria delle Grazie,Motta San Giovanni – VedutaChiesa Santa Maria delle Grazie
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Giovanni Verduci (lista civica) dal 12-6-2017 (2º mandato dal 14-6-2022)
Territorio,Territorio
Coordinate,38°00′N 15°42′E
Altitudine,450 m s.l.m.
Superficie,"46,48 km²"
Abitanti,5 384[1] (30-11-2025)
Densità,"115,83 ab./km²"
Frazioni,"Allai, Cambarere, Cambareri, Lazzaro, Leandro, Martino, Paolia, Patarriti, Riace Capo, Riaci Capo, Rione Branca, San Basilio, San Nicola, Sant'Antonio, Sarto, Valanidi, Valanidi Serro."
Comuni confinanti,"Montebello Jonico, Reggio Calabria"
Altre informazioni,Altre informazioni
Cod. postale,89065; 89062 (Lazzaro)
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080054
Cod. catastale,F779
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 535 GG[3]"
Nome abitanti,mottesi
Patrono,san Giovanni apostolo ed evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Motta San Giovanni,Motta San Giovanni
Motta San Giovanni – MappaPosizione del comune di Motta San Giovanni nell'ambito della città metropolitana di Reggio di Calabria,Motta San Giovanni – MappaPosizione del comune di Motta San Giovanni nell'ambito della città metropolitana di Reggio di Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
