Bova comune,Bova comune.1
,
Bova – Veduta,Bova – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Città metropolitana,Reggio Calabria
Amministrazione,Amministrazione
Sindaco,Santo Casile (lista civica) dal 17-5-2011 (3º mandato dal 5-10-2021)
Territorio,Territorio
Coordinate,37°59′41.8″N 15°55′56.6″E
Altitudine,915 m s.l.m.
Superficie,"46,94 km²"
Abitanti,465[1] (30-11-2025)
Densità,"9,91 ab./km²"
Frazioni,"Brigha, Caloghiero, Cavalli, Polemo, Vunemo"
Comuni confinanti,"Africo, Bova Marina, Condofuri, Palizzi, Roghudi, Staiti"
Altre informazioni,Altre informazioni
Cod. postale,89033
Prefisso,0965
Fuso orario,UTC+1
Codice ISTAT,080011
Cod. catastale,B097
Targa,RC
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 250 GG[3]"
Nome abitanti,bovesi
Patrono,san Leo
Giorno festivo,5 maggio
Cartografia,Cartografia
Bova,Bova
Bova – MappaPosizione del comune di Bova all'interno della città metropolitana di Reggio Calabria,Bova – MappaPosizione del comune di Bova all'interno della città metropolitana di Reggio Calabria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
